Sector,unit,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Energy,MtCO2e,45.39,44.55,48.10,51.20,53.87,63.50,68.01,74.38,74.65,72.25,72.52,72.16,71.66,73.46,74.50,75.61,69.96,73.74,75.83,76.91,82.53,83.28,85.84,94.86,100.75,108.99,119.13,130.66,135.69,142.49,132.18,140.20,145.58,160.73
Industrial Processes,MtCO2e,3.17,3.40,3.26,3.80,4.45,4.87,5.67,6.52,5.77,5.65,5.40,4.25,6.04,5.93,6.11,6.91,6.00,6.72,6.97,7.79,8.42,8.59,9.65,10.24,10.76,11.88,11.92,13.38,14.38,14.79,13.55,15.35,16.35,16.75
Agriculture,MtCO2e,47.22,47.56,45.68,47.15,50.87,52.48,55.37,55.49,48.53,57.03,57.69,58.29,58.21,58.91,60.71,59.69,59.96,61.57,62.60,63.61,62.61,63.15,64.00,64.75,65.03,63.93,63.70,66.97,66.30,65.25,66.16,66.22,66.38,65.85
Waste,MtCO2e,5.11,5.19,6.79,8.02,9.00,9.82,10.52,11.14,11.72,12.26,12.76,13.26,13.73,14.20,14.66,15.12,15.56,16.00,16.48,16.95,17.41,17.82,18.24,18.67,19.10,19.52,19.96,20.42,20.86,21.29,21.71,22.12,22.52,22.95
"Land Use, Land-Use Change and Forestry",MtCO2e,2.46,2.46,2.46,2.46,2.46,2.46,2.45,2.47,2.62,2.46,2.47,-12.41,-12.35,-12.35,-12.35,-12.30,-12.38,-12.36,-12.39,-12.39,-12.20,-20.68,-20.69,-20.66,-20.64,-20.62,-20.59,-20.67,-20.67,-20.63,-20.61,-26.91,-26.92,-26.89
Data source,Climate Watch
Data for,Location: Philippines. Sectors/Subsectors: Total including LULUCF. Gases: All GHG. Calculation: Total. Show data by Sectors
