Sector,unit,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Energy,MtCO2e,109.61,120.20,125.58,135.10,145.32,162.35,180.16,195.09,194.16,200.15,210.03,215.44,221.78,232.08,248.56,260.99,261.17,281.28,296.44,275.14,299.55,300.92,307.68,335.90,355.97,365.63,369.71,374.09,394.64,404.31,387.43,394.56,426.94,440.58
Industrial Processes,MtCO2e,7.10,7.56,7.44,8.15,9.34,10.06,11.43,12.70,12.27,12.48,13.68,12.64,15.63,16.45,16.90,17.98,18.25,19.26,20.74,21.68,22.04,23.43,25.31,27.14,28.82,29.72,31.13,33.11,35.26,36.57,38.35,41.25,43.26,46.62
Agriculture,MtCO2e,55.98,55.88,54.31,56.02,60.01,61.49,64.20,64.99,58.31,66.35,67.04,67.59,68.05,69.42,71.85,71.10,71.16,73.23,74.64,74.50,74.66,75.30,76.27,76.20,76.53,75.38,75.06,78.01,76.74,74.99,76.08,76.83,76.38,75.96
Waste,MtCO2e,10.71,10.95,12.73,14.32,15.40,16.48,17.45,18.36,18.91,20.05,20.77,21.61,22.51,23.68,24.69,25.74,27.16,28.25,29.64,30.65,31.39,32.58,33.40,34.57,35.59,36.37,37.16,37.95,38.73,39.48,40.23,40.95,41.65,42.44
"Land Use, Land-Use Change and Forestry",MtCO2e,110.72,110.72,110.72,110.70,110.70,110.39,107.14,109.11,139.22,106.88,107.40,77.54,85.54,84.52,93.29,96.47,84.73,91.25,87.06,105.03,97.03,-137.77,-142.51,-139.77,-121.75,-138.86,49.48,39.86,46.38,48.79,42.51,38.02,35.90,36.40
Data source,Climate Watch
Data for,Location: Malaysia, Philippines. Sectors/Subsectors: Total including LULUCF. Gases: All GHG. Calculation: Total. Show data by Sectors
