Model,Scenario,Region,Variable,Unit,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100
0,1.0,PHL,Price|Carbon|Demand|Transportation,US$2010/t CO2,0.0,,,,,0.7235,,,,,2.9502,,,,,7.0056,,,,,5.4787,,,,,5.4261,,,,,5.9537,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,1.0,PHL,Price|Carbon|Supply,US$2010/t CO2,0.0,,,,,0.7235,,,,,2.9502,,,,,7.0056,,,,,5.4787,,,,,5.4261,,,,,5.9537,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,2.0,MYS,Price|Carbon,US$2010/t CO2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,2.0,MYS,Price|Carbon|Demand|Industry,US$2010/t CO2,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,2.0,MYS,Price|Carbon|Demand|Residential and Commercial,US$2010/t CO2,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,2.0,MYS,Price|Carbon|Demand|Transportation,US$2010/t CO2,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,2.0,MYS,Price|Carbon|Supply,US$2010/t CO2,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,2.0,PHL,Price|Carbon,US$2010/t CO2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,2.0,PHL,Price|Carbon|Demand|Industry,US$2010/t CO2,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,2.0,PHL,Price|Carbon|Demand|Residential and Commercial,US$2010/t CO2,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,2.0,PHL,Price|Carbon|Demand|Transportation,US$2010/t CO2,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,2.0,PHL,Price|Carbon|Supply,US$2010/t CO2,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,3.0,MYS,Price|Carbon,US$2010/t CO2,0.0,1.06302,2.12604,3.18906,4.25208,5.3151,6.32244,7.32978,8.33712,9.34446,10.3518,14.75694,19.16208,23.56722,27.97236,32.3775,35.77746,39.17742,42.57738,45.97734,49.3773,51.34576,53.31422,55.28268,57.25114,59.2196,61.41806,63.61652,65.81498,68.01344,70.2119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,3.0,MYS,Price|Carbon|Demand|Industry,US$2010/t CO2,0.0,,,,,5.3151,,,,,10.3518,,,,,32.3775,,,,,49.3773,,,,,59.2196,,,,,70.2119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,3.0,MYS,Price|Carbon|Demand|Residential and Commercial,US$2010/t CO2,0.0,,,,,5.3151,,,,,10.3518,,,,,32.3775,,,,,49.3773,,,,,59.2196,,,,,70.2119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,3.0,MYS,Price|Carbon|Demand|Transportation,US$2010/t CO2,0.0,,,,,5.3151,,,,,10.3518,,,,,32.3775,,,,,49.3773,,,,,59.2196,,,,,70.2119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,3.0,MYS,Price|Carbon|Supply,US$2010/t CO2,0.0,,,,,5.3151,,,,,10.3518,,,,,32.3775,,,,,49.3773,,,,,59.2196,,,,,70.2119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,3.0,PHL,Price|Carbon,US$2010/t CO2,0.0,1.06302,2.12604,3.18906,4.25208,5.3151,6.32244,7.32978,8.33712,9.34446,10.3518,14.75694,19.16208,23.56722,27.97236,32.3775,35.77746,39.17742,42.57738,45.97734,49.3773,51.34576,53.31422,55.28268,57.25114,59.2196,61.41806,63.61652,65.81498,68.01344,70.2119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,3.0,PHL,Price|Carbon|Demand|Industry,US$2010/t CO2,0.0,,,,,5.3151,,,,,10.3518,,,,,32.3775,,,,,49.3773,,,,,59.2196,,,,,70.2119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,3.0,PHL,Price|Carbon|Demand|Residential and Commercial,US$2010/t CO2,0.0,,,,,5.3151,,,,,10.3518,,,,,32.3775,,,,,49.3773,,,,,59.2196,,,,,70.2119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,3.0,PHL,Price|Carbon|Demand|Transportation,US$2010/t CO2,0.0,,,,,5.3151,,,,,10.3518,,,,,32.3775,,,,,49.3773,,,,,59.2196,,,,,70.2119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,3.0,PHL,Price|Carbon|Supply,US$2010/t CO2,0.0,,,,,5.3151,,,,,10.3518,,,,,32.3775,,,,,49.3773,,,,,59.2196,,,,,70.2119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,4.0,MYS,Price|Carbon,US$2010/t CO2,0.0,3.13728,6.27456,9.41184,12.54912,15.6864,35.6322,55.578,75.5238,95.4696,115.4154,139.37182,163.32824,187.28466,211.24108,235.1975,263.07786,290.95822,318.83858,346.71894,374.5993,422.05788,469.51646,516.97504,564.43362,611.8922,702.00522,792.11824,882.23126,972.34428,1062.4573,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,4.0,MYS,Price|Carbon|Demand|Industry,US$2010/t CO2,0.0,,,,,15.6864,,,,,115.4154,,,,,235.1975,,,,,374.5993,,,,,611.8922,,,,,1062.4573,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,4.0,MYS,Price|Carbon|Demand|Residential and Commercial,US$2010/t CO2,0.0,,,,,15.6864,,,,,115.4154,,,,,235.1975,,,,,374.5993,,,,,611.8922,,,,,1062.4573,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,4.0,MYS,Price|Carbon|Demand|Transportation,US$2010/t CO2,0.0,,,,,15.6864,,,,,115.4154,,,,,235.1975,,,,,374.5993,,,,,611.8922,,,,,1062.4573,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,4.0,MYS,Price|Carbon|Supply,US$2010/t CO2,0.0,,,,,15.6864,,,,,115.4154,,,,,235.1975,,,,,374.5993,,,,,611.8922,,,,,1062.4573,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,4.0,PHL,Price|Carbon,US$2010/t CO2,0.0,3.13728,6.27456,9.41184,12.54912,15.6864,35.6322,55.578,75.5238,95.4696,115.4154,139.37182,163.32824,187.28466,211.24108,235.1975,263.07786,290.95822,318.83858,346.71894,374.5993,422.05788,469.51646,516.97504,564.43362,611.8922,702.00522,792.11824,882.23126,972.34428,1062.4573,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,4.0,PHL,Price|Carbon|Demand|Industry,US$2010/t CO2,0.0,,,,,15.6864,,,,,115.4154,,,,,235.1975,,,,,374.5993,,,,,611.8922,,,,,1062.4573,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,4.0,PHL,Price|Carbon|Demand|Residential and Commercial,US$2010/t CO2,0.0,,,,,15.6864,,,,,115.4154,,,,,235.1975,,,,,374.5993,,,,,611.8922,,,,,1062.4573,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,4.0,PHL,Price|Carbon|Demand|Transportation,US$2010/t CO2,0.0,,,,,15.6864,,,,,115.4154,,,,,235.1975,,,,,374.5993,,,,,611.8922,,,,,1062.4573,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
