country_code,year,AG.LND.PRCP.MM,WB_WDI_EN_GHG_ALL_MT_CE_AR5,WB_WDI_EN_GHG_CO2_PC_CE_AR5,EN_GHG_CO2_RT_GDP_KD,SP.URB.TOTL.IN.ZS,EN.CLC.MDAT.ZS,AG.LND.FRST.ZS,EG.FEC.RNEW.ZS,EG.USE.PCAP.KG.OE,EG.USE.COMM.FO.ZS,NY.GDP.PCAP.CD,NV.IND.MANF.ZS
MYS,1990,2875.0,85.7454,3.6126048474497328,0.8632763211919328,49.0330672220994,,62.75604930756353,8.3,1188.840601892681,92.59406290197953,2468.690803201161,24.2246873976537
MYS,1991,2875.0,96.9113,4.105560736005806,0.921163112163323,50.4923459184952,,62.47385481661848,7.6,1433.3060681776722,93.93945287878284,2679.201011067448,25.54986530890145
MYS,1992,2875.0,101.608,4.209636406922334,0.8907138351355879,51.8628569177227,,62.19166032567342,6.9,1542.6168706249657,94.51296372886614,3141.4332198765114,25.822593275905547
MYS,1993,2875.0,102.4776,4.114396441401661,0.8127056593311935,53.2286734175775,,61.90946583472835,6.7,1630.7489319844046,94.63744367752504,3461.995042141889,25.92599045262901
MYS,1994,2875.0,111.206,4.417993419522446,0.8196493656394157,54.5855388512742,,61.627271343783285,6.8,1582.1389068417382,94.1204072872332,3757.652928586008,26.640608612459776
MYS,1995,2875.0,113.6029,4.47298675262839,0.7750327236953901,55.9232917327627,,61.34507685283823,6.1,1671.5736148888284,94.65326360013498,4363.144583330344,26.37803239044738
MYS,1996,2875.0,128.277,4.960645967568384,0.8013366581406272,57.2317705759929,,61.062882361893166,4.9,1806.871405646504,95.390859845647,4837.168972507679,27.84276323049517
MYS,1997,2875.0,141.2678,5.298083977435925,0.8175353431274779,58.5008138949148,,60.780687870948114,4.2,2055.062770916096,96.32946135835203,4678.563900581818,28.380205468514347
MYS,1998,2875.0,136.0534,5.0510590064333245,0.8622545980671531,59.7202602034782,,60.49849338000304,4.5,1904.881763813101,95.93437245874372,3294.309784440952,28.78270601568265
MYS,1999,2875.0,145.3693,5.334257522141999,0.8786519501956519,60.8799480156331,,60.21629888905798,4.9,1885.2804332085248,95.41418934870318,3527.8158137924875,30.93621577050445
MYS,2000,2875.0,157.8565,5.69323613529471,0.8819046431126459,61.9694564490726,,59.93410439811292,4.4,2104.6113053402078,96.05540489003596,4083.528744836047,30.86354976557305
MYS,2001,2875.0,166.0038,5.88304152527669,0.9286674711469418,63.0180877676224,,59.70774615735809,4.2,2138.334574779655,96.25893648277206,3943.799439102389,29.336404039945656
MYS,2002,2875.0,175.1849,6.080308675328266,0.9330053260961892,64.056368465184,,59.48138791660325,3.5,2156.947233684472,96.73836932313355,4184.031637735386,29.246398217179483
MYS,2003,2875.0,188.3416,6.343169553544664,0.942112647646736,65.0750932867555,,59.25502967584843,3.3,2256.6510681558925,97.11586196035876,4465.321945672084,29.928671893096197
MYS,2004,2875.0,203.1597,6.714666466482732,0.9557773905893552,66.0647889111941,,59.02867143509359,3.2,2373.577702752846,97.25449080053907,4939.248518544275,30.378147360604835
MYS,2005,2875.0,215.2126,7.0102416114276815,0.969065239172838,67.0159820173565,,58.802313194338765,3.0,2517.4645167172166,97.85119605985976,5555.581799512061,27.54968008271122
MYS,2006,2875.0,223.0275,7.106050671913511,0.9513026453814594,67.9191992840997,,58.57595495358393,3.1,2474.3916183306333,97.76172293865964,6158.4078553323625,27.56608756266924
MYS,2007,2875.0,240.6026,7.588619454294107,0.9767069668144114,68.7649673902807,,58.3495967128291,2.8,2586.989878932258,98.39798793142356,7168.930319425083,26.12258394204467
MYS,2008,2875.0,252.8853,7.839228780758139,0.9828376316022872,69.5438130147565,,58.12323847207427,3.0,2681.0000344811306,99.03425292418746,8371.82156086005,24.5607176579228
MYS,2009,2875.0,235.8426,7.036937322669711,0.9138332392646472,70.2462628363839,0.0969269043603106,57.89688023131944,2.3,2485.916674279857,99.38348806126568,7191.43287234626,23.800145050129267
MYS,2010,2875.0,250.7903,7.520347730244681,0.9262740887411494,70.8625314831025,,57.6705219905646,2.0,2531.6771063741285,98.01093547340405,8899.34505544675,23.433775568091896
MYS,2011,2875.0,252.9347,7.484822991972543,0.8910161489278842,71.4245166681964,,57.98497641150511,2.2,2593.2731029282418,97.95303447769504,10217.106858503092,23.32020448969161
MYS,2012,2875.0,254.6051,7.409842303993169,0.8506767211246591,71.9680127926087,,58.2994308324456,2.5,2589.319903697752,98.06713549820604,10600.574424002583,23.13817629204367
MYS,2013,2875.0,272.7485,7.859525327294634,0.8767087912798825,72.4882717118078,,58.61388525338609,2.8,2871.756710193902,98.04007583297935,10713.640763889867,22.84074242058326
MYS,2014,2875.0,287.4116,8.189620081510581,0.8766705514746062,72.9802206910773,,58.928339674326594,3.0,2883.1355090614725,97.94032378046256,11013.310733440316,22.873930243130463
MYS,2015,2875.0,290.1481,8.09596053481984,0.8390744337958155,73.4387869957006,,59.24279409526708,3.4,2708.6628949190463,67.09043698976399,9648.679793752302,22.29333240251367
MYS,2016,2875.0,286.5024,7.785044111006448,0.786250583154529,73.8588978909614,,58.78752092527774,4.4,2760.831973971617,0.0,9476.534098099228,21.796939796545708
MYS,2017,2875.0,274.6473,7.350569192812234,0.7140798996009301,74.2354806421432,,58.6348805356871,5.2,2619.442526953829,0.0,9862.548066122346,21.846195079946057
MYS,2018,2875.0,291.0216,7.72644571640815,0.7282095851109457,74.5634625145296,,58.48224014609649,5.3,2841.118006568932,0.0,10901.80199544212,21.528138198161603
MYS,2019,2875.0,292.1334,7.630399290730345,0.6998450745906555,74.8377707734042,,58.32959975650586,5.7,2879.89449600209,0.0,10920.191763972032,21.408974896252904
MYS,2020,2875.0,288.8584,7.467786980284606,0.7341898541141297,75.0511895575672,,58.17695936691523,7.0,2719.4337826470505,0.0,9957.526266976134,22.232085842388592
MYS,2021,2875.0,293.3116,7.523262884840702,0.7242077136976237,75.5088628191907,,58.02431897732461,7.5,2781.7350382050045,0.0,10903.103748077188,23.363165635523977
MYS,2022,2875.0,312.7472,7.983299156463925,0.7133263028963813,75.9741357073003,,57.871678587733975,,3035.372576196338,0.0,11754.567833624773,23.338319684034225
MYS,2023,,318.3725,8.03895132928611,0.7023744541714264,76.4434752105739,,57.71903819814336,,3008.824199193009,0.0,11386.039563652774,23.020233887778986
PHL,1990,2348.0,92.0111,0.6794117719120487,0.3986981190455526,36.0011791352366,,26.08850655666231,49.5,427.11786002808446,46.06815004550619,803.5725882558125,
PHL,1991,2348.0,91.503,0.6662286680914176,0.4022188516601639,36.2572326716808,,25.93102927859946,51.3,432.4028139317237,45.59835508310901,804.3233305305467,
PHL,1992,2348.0,94.4127,0.7070580896420046,0.4352869465682067,36.5239357507243,,25.773552000536608,47.7,445.1239855634606,49.25923824262565,916.5156945320286,
PHL,1993,2348.0,99.0877,0.7451167967195207,0.4598478542617288,36.8021006492264,,25.61607472247375,44.1,415.05892517363935,52.6487301131793,918.6429537969613,
PHL,1994,2348.0,104.929,0.7857136637349694,0.4748242918979211,37.0925396440467,,25.458597444410906,43.1,446.1920423400611,53.95246262543913,1059.9838951587,
PHL,1995,2348.0,116.8375,0.926297339762062,0.5468724554959467,37.3960650120444,,25.301120166348056,37.8,459.5219764987169,57.4279974035878,1199.8417141499276,
PHL,1996,2348.0,122.7994,0.9515773613835508,0.5430639906312552,37.713489030079,,25.143642888285207,35.8,463.3958803364173,58.55452321211728,1311.0924940386549,
PHL,1997,2348.0,132.061,1.0400086268470563,0.5776994037808686,38.0456239750098,,24.986165610222358,33.4,478.6114504009103,59.71327305387671,1273.2760487563603,
PHL,1998,2348.0,126.3912,0.9972275872667982,0.5709778391125342,38.3932821236964,,24.828688332159505,32.8,482.9768120803289,57.5149551685991,982.865943728564,
PHL,1999,2348.0,131.0924,0.9516385918084436,0.5408816670619766,38.757275752998,,24.67121105409665,33.6,483.9236007102893,54.6544101056771,1101.4351597531847,
PHL,2000,2348.0,132.7752,0.9326722728930318,0.5200733348798199,39.1384171397742,,24.51373377603381,33.9,487.4027795476925,54.68270537478943,1050.7927310795235,25.279565250013064
PHL,2001,2348.0,131.6205,0.8807197725918721,0.4872022040114951,39.5375185608843,,24.356259851762417,32.9,454.32383132008346,56.226335662936464,969.5306117444528,25.311545893841654
PHL,2002,2348.0,134.5659,0.8780796382144945,0.4779303777505576,39.9553922931877,,24.19878592749103,31.8,451.2844686814615,57.850557185662325,1014.9087932010624,25.13540867804596
PHL,2003,2348.0,137.6599,0.882480593038024,0.4662249119180593,40.3928506135438,,24.04131200321964,30.9,442.568789118581,59.37318542555605,1027.2301192842956,24.83687264528808
PHL,2004,2348.0,140.9301,0.8760707741316509,0.4428301546259635,40.8507057988121,,23.88383807894825,30.2,430.0757526405303,58.86134746920016,1099.6301302375837,24.01199788258278
PHL,2005,2348.0,145.0008,0.8962499324838373,0.4397957491826745,41.3297701258519,,23.726364154676855,31.3,434.47117461439785,58.73965477034022,1220.4601855986728,24.26990116575579
PHL,2006,2348.0,137.5884,0.7929148029897244,0.3757141397163169,41.8308558715226,,23.568890230405472,33.3,423.3570797189413,57.18330778686085,1426.1464917954625,23.829185395324444
PHL,2007,2348.0,146.1958,0.8450282131738542,0.3824788049454221,42.3470499959497,,23.41141630613409,32.4,425.6258060413438,57.10178348495778,1712.6554328279278,23.15091159963745
PHL,2008,2348.0,148.1113,0.8388668735115484,0.3703694330171606,43.1547492407016,,23.253942381862696,33.9,439.08291757886207,56.78372436988505,1959.292335349778,23.268667677755197
PHL,2009,2348.0,150.4794,0.8332491914699751,0.3692292986524186,44.3356772609527,0.8063848651705474,23.09646845759131,34.1,420.7180472555262,54.10565832390405,1864.450434064713,21.738614391419723
PHL,2010,2348.0,156.6438,0.8819943505683816,0.3716566198199016,45.5208176726647,,22.93899453331992,32.7,431.461435820742,58.421148427000425,2162.91375885614,21.91920171638268
PHL,2011,2348.0,157.7593,0.8609536211879794,0.3562440739508084,46.6833632464759,,23.05599490223698,33.8,428.3307590549837,57.86585769126549,2383.9189252208703,21.704326952573965
PHL,2012,2348.0,163.0728,0.8934528829760311,0.3526219668854742,47.9182784810426,,23.17299527115404,34.1,437.467121529591,58.71178061741716,2614.6164440130824,21.328571209278277
PHL,2013,2348.0,173.2631,0.9550391777385114,0.3597927049050596,49.1313688766206,,23.2899956400711,33.1,443.2706552957279,60.79772326558943,2781.279576773972,20.434498765771973
PHL,2014,2348.0,181.1384,1.002373294895985,0.3609658447361774,50.2392400212368,,23.40699600898816,32.4,465.6274976659488,61.60315891086532,2866.838037614072,20.57508399073959
PHL,2015,2348.0,190.6338,1.074771477388089,0.3693552781153215,51.1549047745227,,23.52399637790522,30.8,499.0723638328555,43.30246567393628,2909.8581801030064,19.92802237426268
PHL,2016,2348.0,202.623,1.1364255671524544,0.3694086221665467,51.9114748151175,,23.641010161988127,28.6,520.9824171822368,0.0,2985.195640240464,19.59030319938676
PHL,2017,2348.0,220.8073,1.254591057708608,0.3863310929730784,52.6010482354344,,23.758023946071035,27.8,544.4771879866964,0.0,3038.121249592892,19.500202055813293
PHL,2018,2348.0,226.906,1.2911472108961812,0.3785315905345197,53.2088897464754,,23.87500419223933,27.6,554.5019928189207,0.0,3168.5103660972686,19.098247166814723
PHL,2019,2348.0,235.2167,1.3350013374434724,0.3733348712285095,53.7157859948017,,23.992017976322234,26.9,551.8794831417125,0.0,3400.789497670743,18.516454400296016
PHL,2020,2348.0,225.1449,1.21683584867494,0.3804196831633,54.1077719895977,,24.109031760405134,29.1,518.1706273260863,0.0,3227.579102351993,17.658179047866053
PHL,2021,2348.0,235.613,1.2874463035014294,0.3842004094297434,54.4504102510776,,24.226045544488045,28.0,531.0454214953915,0.0,3484.3859388281885,17.640084696104452
PHL,2022,2348.0,242.5967,1.3311216707107094,0.3720605871301384,54.7902343568327,,24.34305932857095,,551.0427844480262,0.0,3548.069305721156,17.229379413152376
PHL,2023,,254.5314,1.4139699247111173,0.377592548554934,55.1242716168851,,24.46007311265386,,580.1360554135003,0.0,3804.0827413109687,16.23032629476529
