country_code,country_name,arima_order,train_aic,test_mape_pct,actual_2023_MtCO2e,forecast_2024_MtCO2e,forecast_2024_ci95_lo,forecast_2024_ci95_hi,forecast_2030_MtCO2e,source,notes
MYS,Malaysia,"(1, 1, 1)",224.08,1.71,318.3725,325.1,307.92,342.28,365.46,"World Bank WDI WB_WDI_EN_GHG_ALL_MT_CE_AR5 (AR5, excl. LULUCF)",Total GHG excl. LULUCF (CAIT); train 1990-2020; MAPE on 2021-2023 rolling 1-step-ahead; CI from get_forecast(steps=7) on full sample 1990-2023
PHL,Philippines,"(2, 1, 0)",196.08,3.56,254.5314,260.77,249.14,272.4,285.38,"World Bank WDI WB_WDI_EN_GHG_ALL_MT_CE_AR5 (AR5, excl. LULUCF)",Total GHG excl. LULUCF (CAIT); train 1990-2020; MAPE on 2021-2023 rolling 1-step-ahead; CI from get_forecast(steps=7) on full sample 1990-2023
