Rank,Sector,GHG_Baseline_MtCO2e,Current_Pol_Price_USD_per_ton,Net_Zero_Price_USD_per_ton,Price_Diff_USD_per_ton,Annual_Transition_Cost_USD_Millions,% of Total
1,Energy,279.85,0,55.578,55.578,15553.503300000002,69.5
2,"Land Use, Land-Use Change and Forestry",63.29,0,55.578,55.578,3517.53162,15.7
3,Industrial Processes,29.87,0,55.578,55.578,1660.1148600000001,7.4
4,Waste,19.49,0,55.578,55.578,1083.21522,4.8
5,Agriculture,10.11,0,55.578,55.578,561.89358,2.5
