country_code,country_name,gev_shape_c,gev_family,gev_loc_mu,gev_scale_sigma,return_level_2yr_mm,return_level_5yr_mm,return_level_10yr_mm,return_level_25yr_mm,return_level_50yr_mm,return_level_100yr_mm,return_level_150yr_mm,return_level_200yr_mm,rl_100yr_ci95_lo_mm,rl_100yr_ci95_hi_mm,rl_100yr_ci95_method,pelt_break_year,pre_break_mean_mm,post_break_mean_mm,uplift_pct,enso_pearson_r,enso_pearson_p,enso_spearman_r,enso_spearman_p,enso_n_obs,enso_hazard,eal_data_window_yrs,eal_burning_cost_usd_bn,eal_sample_mean_rx_mm,eal_gev_mean_mm,eal_gev_loading,eal_stationary_usd_bn,eal_forward_usd_bn,eal_pricing_gap_usd_bn,eal_pricing_gap_pct,source_rx5day,source_enso,source_loss
MYS,Malaysia,-0.0321,"Weibull (bounded, ξ<0)",122.23,19.0,129.2,151.4,166.6,186.2,201.2,216.4,225.4,231.9,170.8,343.6,"Bootstrap (n=500, seed=42), 34-yr sample",2007,129.7,138.6,6.9,-0.016,0.93,-0.071,0.688,34,Flood,34,0.1108,133.89,132.61,0.9904,0.1097,0.1173,0.0065,5.87,CHIRPS RX5day (WMO ETCCDI),NOAA ONI DJF,EM-DAT total_damage_adjusted_usd
PHL,Philippines,-0.1218,"Weibull (bounded, ξ<0)",209.62,50.44,228.5,292.6,340.2,406.9,461.6,520.7,557.6,584.9,326.1,984.8,"Bootstrap (n=500, seed=42), 34-yr sample",2007,237.5,252.0,6.1,-0.026,0.831,-0.006,0.96,72,Storm,34,0.9265,244.37,233.26,0.9545,0.8844,0.9384,0.0119,1.28,CHIRPS RX5day (WMO ETCCDI),NOAA ONI DJF,EM-DAT total_damage_adjusted_usd
