country,rl_point,ci_upper,eal_point_m,eal_upper_m,loading_raw_pct,loading_adopted_pct,loading_rounded_pp
MYS,216.4,343.6,17.595,27.937,58.78,29.39,29.5
PHL,520.7,984.8,75.072,141.984,89.13,44.57,44.5
